,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
0,Ethiopia,60 kg,,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,2.1
1,Ethiopia,60 kg,Other,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,2.1
2,Guatemala,1,Bourbon,,0,0,0,,0,Specialty Grade,1.7
3,Ethiopia,60 kg,,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,2
4,Ethiopia,60 kg,Other,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,2.1
5,Brazil,30 kg,,Natural / Dry,0.11,0,0,Bluish-Green,1,Specialty Grade,0
6,Peru,69 kg,Other,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,0
7,Ethiopia,60 kg,,,0.03,0,0,,0,Specialty Grade,1.6
8,Ethiopia,60 kg,,,0.03,0,0,,0,Specialty Grade,1.6
9,Ethiopia,60 kg,Other,Natural / Dry,0.1,0,0,Green,4,Specialty Grade,1.8
10,Ethiopia,60 kg,,Natural / Dry,0.1,0,0,,1,Specialty Grade,1.9
11,United States,1 kg,Other,Washed / Wet,0,0,0,,0,Specialty Grade,1.9
12,United States,1 kg,Other,Washed / Wet,0,0,0,,0,Specialty Grade,1.9
13,United States (Hawaii),1,,,0,0,0,,2,Specialty Grade,0.2
14,Ethiopia,60 kg,,,0.05,0,0,,2,Specialty Grade,1.6
15,United States,1 kg,Other,Washed / Wet,0,0,0,,0,Specialty Grade,2.1
16,Indonesia,"2 kg,lbs",,,0.03,0,0,,0,Specialty Grade,1.5
17,Ethiopia,6,,,0.05,0,0,,2,Specialty Grade,0
18,China,60 kg,Catimor,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,1.4
19,Ethiopia,60 kg,Ethiopian Yirgacheffe,Natural / Dry,0,0,0,,8,Specialty Grade,1.9
20,United States,1 kg,Other,Washed / Wet,0,0,0,None,0,Specialty Grade,2
21,Costa Rica,3 lbs,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.3
22,Mexico,1 kg,Other,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.3
23,United States,1 kg,Other,Washed / Wet,0,0,0,,0,Specialty Grade,2.1
24,Ethiopia,60 kg,,Natural / Dry,0.11,0,0,Bluish-Green,1,Specialty Grade,0
25,Brazil,60 kg,Bourbon,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1.2
26,Ethiopia,6,,,0.05,0,0,,2,Specialty Grade,0
27,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.9
28,Honduras,69 kg,Caturra,,0.1,0,0,Green,3,Specialty Grade,1.4
29,Taiwan,50 kg,Sumatra,Pulped natural / honey,0,0,0,Green,0,Specialty Grade,1.2
30,Nicaragua,6,,,0.08,0,0,,2,Specialty Grade,0
31,"Tanzania, United Republic Of",60 kg,,Natural / Dry,0.11,0,0,Bluish-Green,1,Specialty Grade,0
32,Brazil,60 kg,Bourbon,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1.3
33,Costa Rica,2 lbs,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.3
34,Ethiopia,60 kg,,Natural / Dry,0.1,0,0,Green,3,Specialty Grade,1.8
35,Kenya,1 kg,SL34,Washed / Wet,0.12,0,0,Blue-Green,1,Specialty Grade,1.8
36,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,1,0,,4,Specialty Grade,0
37,United States (Hawaii),100 lbs,,,0,2,0,,1,Specialty Grade,0
38,Ethiopia,6,,,0.1,0,0,,2,Specialty Grade,0
39,United States,1 kg,Other,Washed / Wet,0,0,0,,0,Specialty Grade,1.9
40,Thailand,1 kg,Caturra,Washed / Wet,0.1,1,0,Green,9,Specialty Grade,1.3
41,Brazil,60 kg,Yellow Bourbon,,0.08,0,0,,2,Specialty Grade,0
42,Brazil,60 kg,Yellow Bourbon,,0.01,0,0,,3,Specialty Grade,0
43,Taiwan,15 kg,Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Green,0,Specialty Grade,1
44,Kenya,60 kg,SL28,Natural / Dry,0.11,0,0,Bluish-Green,2,Specialty Grade,1.8
45,Brazil,60 kg,Bourbon,Semi-washed / Semi-pulped,0.11,0,0,Blue-Green,2,Specialty Grade,1.2
46,Uganda,60 kg,,Semi-washed / Semi-pulped,0,0,0,,0,Specialty Grade,0
47,Colombia,2 kg,Caturra,Washed / Wet,0.12,1,0,Green,1,Specialty Grade,1.2
48,Kenya,1 kg,SL28,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.9
49,Uganda,60 kg,Other,Washed / Wet,0.1,0,0,Blue-Green,0,Specialty Grade,1.7
50,Ethiopia,6,,,0.01,0,0,,4,Specialty Grade,1.8
51,United States (Hawaii),2,,,0,0,0,,0,Specialty Grade,0.1
52,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,1,Green,3,Specialty Grade,0
53,Uganda,60 kg,SL14,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,1.7
54,Colombia,70 kg,Caturra,Washed / Wet,0,1,0,Blue-Green,0,Specialty Grade,1.8
55,Panama,60 kg,Gesha,Washed / Wet,0.08,0,1,Bluish-Green,0,Specialty Grade,1.6
56,Ethiopia,60 kg,,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.9
57,Guatemala,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,0.5
58,Guatemala,1 kg,Catuai,Washed / Wet,0.1,0,0,Bluish-Green,1,Specialty Grade,0.4
59,Ethiopia,19200 kg,Caturra,Natural / Dry,0.09,0,4,None,7,Specialty Grade,0
60,Peru,5 lbs,,Washed / Wet,0.1,4,0,Green,6,Specialty Grade,0
61,Papua New Guinea,60 kg,,Washed / Wet,0.12,0,0,Bluish-Green,1,Specialty Grade,1.7
62,El Salvador,2 kg,Bourbon,Washed / Wet,0.1,0,0,Blue-Green,3,Specialty Grade,1.5
63,El Salvador,1 kg,Bourbon,Semi-washed / Semi-pulped,0.11,0,0,None,0,Specialty Grade,1.4
64,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,0,0,,1,Specialty Grade,0
65,Panama,60 kg,Caturra,Natural / Dry,0.09,2,0,,2,Specialty Grade,1.7
66,Kenya,60 kg,SL28,Natural / Dry,0.1,0,0,Green,3,Specialty Grade,1.9
67,Ethiopia,60 kg,Other,Natural / Dry,0.12,0,0,Green,7,Specialty Grade,1.9
68,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.6
69,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0.5
70,Ethiopia,60 kg,,Washed / Wet,0.1,0,0,Green,18,Specialty Grade,1.9
71,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.9
72,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,4,0,,6,Specialty Grade,0
73,Brazil,60 kg,Bourbon,Semi-washed / Semi-pulped,0.11,0,0,Blue-Green,1,Specialty Grade,1.2
74,El Salvador,"1 kg,lbs",,,0.01,0,0,,0,Specialty Grade,1.4
75,China,60 kg,Catimor,Natural / Dry,0.1,0,0,Green,0,Specialty Grade,1.7
76,Guatemala,30 kg,Pacamara,Natural / Dry,0.11,0,0,Green,1,Specialty Grade,1.8
77,Costa Rica,3 lbs,Caturra,Washed / Wet,0,0,0,Bluish-Green,0,Specialty Grade,1.3
78,Costa Rica,3 lbs,Caturra,Washed / Wet,0.1,0,0,Bluish-Green,2,Specialty Grade,1.3
79,Kenya,60 kg,SL34,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.6
80,Kenya,60 kg,SL34,Washed / Wet,0,0,0,Green,6,Specialty Grade,1.2
81,Ethiopia,6 kg,,,0.05,0,0,,2,Specialty Grade,0
82,Ethiopia,6,Typica,,0.1,0,0,,3,Specialty Grade,0
83,Guatemala,69 kg,Bourbon,,0.1,0,2,Green,2,Specialty Grade,0
84,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.6
85,Colombia,70 kg,Caturra,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1.6
86,Indonesia,60 kg,Sumatra Lintong,Semi-washed / Semi-pulped,0.11,0,0,Green,3,Specialty Grade,1.3
87,Guatemala,1 kg,Caturra,Washed / Wet,0,0,0,,7,Specialty Grade,1.4
88,Ethiopia,19200 kg,Other,Natural / Dry,0.11,0,1,Green,8,Specialty Grade,0
89,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,,0,Specialty Grade,2.6
90,Ethiopia,60 kg,,Natural / Dry,0.1,2,0,Green,7,Specialty Grade,1.7
91,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,2,0,Bluish-Green,2,Specialty Grade,0
92,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,8,Specialty Grade,2.1
93,United States (Hawaii),100 lbs,,,0.01,1,0,,7,Specialty Grade,0
94,Ethiopia,6,,,0,0,0,,5,Specialty Grade,0
95,United States (Hawaii),0 lbs,,,0,0,0,,0,Specialty Grade,0
96,Uganda,60 kg,SL14,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
97,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,3,Specialty Grade,0
98,Costa Rica,46 kg,Catuai,Washed / Wet,0.12,1,1,Green,1,Specialty Grade,1.9
99,Mexico,30 kg,Typica,Washed / Wet,0.09,0,0,Green,3,Specialty Grade,1.3
100,Kenya,60 kg,,Washed / Wet,0.11,0,5,Green,7,Specialty Grade,0
101,Kenya,60 kg,SL34,Washed / Wet,0,0,0,Green,5,Specialty Grade,1.6
102,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,3,Specialty Grade,1.1
103,Mexico,1 kg,Pacamara,,0,0,0,,0,Specialty Grade,1.4
104,United States (Hawaii),100 lbs,,,0,0,0,,1,Specialty Grade,0
105,Guatemala,69 kg,,,0.04,0,0,,1,Specialty Grade,0.4
106,Colombia,70 kg,Caturra,Washed / Wet,0,1,6,,2,Specialty Grade,0
107,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.8
108,Taiwan,40 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.8
109,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.6
110,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
111,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,,0,Specialty Grade,1.2
112,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,1.2
113,Brazil,60 kg,Catuai,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1
114,Kenya,60 kg,,,0.06,1,0,,9,Specialty Grade,0
115,Taiwan,20 kg,Typica,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.4
116,Uganda,60 kg,SL14,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,1.7
117,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,3,0,,15,Specialty Grade,0
118,Ethiopia,6,,,0.1,0,0,,2,Specialty Grade,1.8
119,Ethiopia,6,,,0.1,0,0,,4,Specialty Grade,1.8
120,Thailand,50 kg,Caturra,Pulped natural / honey,0.12,0,0,Green,0,Specialty Grade,0
121,Kenya,60 kg,SL34,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.8
122,Honduras,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,1.4
123,El Salvador,69 kg,,,0.15,0,0,,3,Specialty Grade,1.2
124,Nicaragua,6,,,0.18,0,0,,2,Specialty Grade,0.9
125,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,0,Blue-Green,2,Specialty Grade,1.4
126,Indonesia,1 kg,Java,Washed / Wet,0.12,0,0,Green,7,Specialty Grade,1.2
127,Japan,1 kg,Mundo Novo,Pulped natural / honey,0.12,0,0,Green,0,Specialty Grade,0.2
128,Costa Rica,69 kg,Catuai,Washed / Wet,0.1,0,0,Blue-Green,2,Specialty Grade,1.2
129,Guatemala,34 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.6
130,Costa Rica,1 lbs,Caturra,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.8
131,Ethiopia,30 kg,Ethiopian Yirgacheffe,Washed / Wet,0.1,0,0,,3,Specialty Grade,1.9
132,Costa Rica,69 kg,Other,Other,0.08,0,0,Green,1,Specialty Grade,1.8
133,Costa Rica,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,1.2
134,Costa Rica,2 kg,,Washed / Wet,0,1,0,Green,10,Specialty Grade,0
135,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1
136,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,0,Specialty Grade,1.6
137,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,2
138,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0.4
139,Guatemala,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,0.5
